"film","director","actor"
"http://dbpedia.org/resource/Crime_at_Dawn","http://dbpedia.org/resource/Zoltán_Várkonyi","http://dbpedia.org/resource/Antal_Páger_(actor)"
"http://dbpedia.org/resource/Crime_at_Dawn","http://dbpedia.org/resource/Zoltán_Várkonyi","http://dbpedia.org/resource/Lajos_Básti"
"http://dbpedia.org/resource/Crime_at_Dawn","http://dbpedia.org/resource/Zoltán_Várkonyi","http://dbpedia.org/resource/Irén_Psota"
"http://dbpedia.org/resource/Crimes_Against_Humanity_(film)","http://dbpedia.org/resource/Jerzy_Rose","http://dbpedia.org/resource/Lyra_Hill"
"http://dbpedia.org/resource/Crimes_Against_Humanity_(film)","http://dbpedia.org/resource/Jerzy_Rose","http://dbpedia.org/resource/Ted_Tremper"
"http://dbpedia.org/resource/Cult_Killer","http://dbpedia.org/resource/Jon_Keeyes","http://dbpedia.org/resource/Antonio_Banderas"
"http://dbpedia.org/resource/Cult_Killer","http://dbpedia.org/resource/Jon_Keeyes","http://dbpedia.org/resource/Alice_Eve"
"http://dbpedia.org/resource/Cult_Killer","http://dbpedia.org/resource/Jon_Keeyes","http://dbpedia.org/resource/Shelley_Hennig"
"http://dbpedia.org/resource/Cult_Killer","http://dbpedia.org/resource/Jon_Keeyes","http://dbpedia.org/resource/Paul_Reid_(actor)"
"http://dbpedia.org/resource/Dani_(film)","http://dbpedia.org/resource/Mihály_Szemes","http://dbpedia.org/resource/Antal_Páger_(actor)"
"http://dbpedia.org/resource/Dani_(film)","http://dbpedia.org/resource/Mihály_Szemes","http://dbpedia.org/resource/Klári_Tolnay"
"http://dbpedia.org/resource/Dani_(film)","http://dbpedia.org/resource/Mihály_Szemes","http://dbpedia.org/resource/Margit_Bara"
"http://dbpedia.org/resource/Danse_Macabre_(1958_film)","http://dbpedia.org/resource/László_Nádasy","http://dbpedia.org/resource/Antal_Páger_(actor)"
"http://dbpedia.org/resource/Danse_Macabre_(1958_film)","http://dbpedia.org/resource/László_Nádasy","http://dbpedia.org/resource/Klári_Tolnay"
"http://dbpedia.org/resource/Danse_Macabre_(1958_film)","http://dbpedia.org/resource/László_Nádasy","http://dbpedia.org/resource/Margit_Bara"
"http://dbpedia.org/resource/Danse_Macabre_(1958_film)","http://dbpedia.org/resource/László_Ranódy","http://dbpedia.org/resource/Antal_Páger_(actor)"
"http://dbpedia.org/resource/Danse_Macabre_(1958_film)","http://dbpedia.org/resource/László_Ranódy","http://dbpedia.org/resource/Klári_Tolnay"
"http://dbpedia.org/resource/Danse_Macabre_(1958_film)","http://dbpedia.org/resource/László_Ranódy","http://dbpedia.org/resource/Margit_Bara"
"http://dbpedia.org/resource/Deadcon","http://dbpedia.org/resource/Caryn_Waechter","http://dbpedia.org/resource/Keith_Machekanyanga"
"http://dbpedia.org/resource/Deadcon","http://dbpedia.org/resource/Caryn_Waechter","http://dbpedia.org/resource/Lauren_Elizabeth_(YouTuber)"
"http://dbpedia.org/resource/Deadcon","http://dbpedia.org/resource/Caryn_Waechter","http://dbpedia.org/resource/Mimi_Gianopulos"
"http://dbpedia.org/resource/Deadcon","http://dbpedia.org/resource/Caryn_Waechter","http://dbpedia.org/resource/Carl_Gilliard"
"http://dbpedia.org/resource/Deadcon","http://dbpedia.org/resource/Caryn_Waechter","http://dbpedia.org/resource/Claudia_Sulewski"
"http://dbpedia.org/resource/Deadcon","http://dbpedia.org/resource/Caryn_Waechter","http://dbpedia.org/resource/Lukas_Gage"
"http://dbpedia.org/resource/Deadly_Kiss","http://dbpedia.org/resource/László_Kalmár_(director)","http://dbpedia.org/resource/Gábor_Rajnay"
"http://dbpedia.org/resource/Deadly_Kiss","http://dbpedia.org/resource/László_Kalmár_(director)","http://dbpedia.org/resource/Katalin_Karády"
"http://dbpedia.org/resource/Deadly_Kiss","http://dbpedia.org/resource/László_Kalmár_(director)","http://dbpedia.org/resource/István_Nagy_(actor)"
"http://dbpedia.org/resource/Don't_Ask_Who_I_Was","http://dbpedia.org/resource/Béla_Balogh","http://dbpedia.org/resource/Mariska_Vízváry"
"http://dbpedia.org/resource/Don't_Ask_Who_I_Was","http://dbpedia.org/resource/Béla_Balogh","http://dbpedia.org/resource/Katalin_Karády"
